WorldX,WorldZ,AnalyticGrad,FDGrad,AnalyticHess,FDHess
0.169192,-0.25,-0.604697,-0.590324,28.4439,29.8619
0.174242,-0.25,-0.599265,-0.583977,29.7258,31.4563
0.179293,-0.25,-0.543994,-0.529066,28.9132,30.6517
0.184343,-0.25,-0.490246,-0.476152,27.2531,28.7294
0.189394,-0.25,-0.469502,-0.454739,28.871,30.2047
0.194444,-0.25,-0.439419,-0.424758,28.3441,29.9364
0.199495,-0.25,-0.40802,-0.393808,27.6577,29.2808
0.204545,-0.25,-0.355933,-0.342131,27.0153,28.1334
0.209596,-0.25,-0.284723,-0.270277,27.9176,29.6086
0.214646,-0.25,-0.247821,-0.233307,28.1908,29.847
0.219697,-0.25,-0.213635,-0.197545,30.527,32.5888
0.224747,-0.25,-0.0778513,-0.0618994,31.4985,32.4696
0.229798,-0.25,-0.0349524,-0.0180751,32.6485,34.3472
0.234848,-0.25,0.0367373,0.0562668,38.2759,39.2646
0.239899,-0.25,0.100051,0.119358,37.5042,39.2348
0.244949,-0.25,0.200302,0.220403,39.4171,40.5461
0.25,-0.25,0.298209,0.318661,40.4457,41.5146
-0.25,-0.244949,-0.439368,-0.432081,11.1574,15.0353
-0.244949,-0.244949,-0.388958,-0.383988,8.03698,10.2222
-0.239899,-0.244949,-0.397027,-0.392623,7.74092,9.34303
-0.234848,-0.244949,-0.351415,-0.347182,7.21299,8.53836
-0.229798,-0.244949,-0.418353,-0.413887,8.00496,9.28342
-0.224747,-0.244949,-0.369782,-0.365838,7.46792,8.367
-0.219697,-0.244949,-0.378822,-0.37495,7.05516,8.08388
-0.214646,-0.244949,-0.379939,-0.375487,8.18614,9.20147
-0.209596,-0.244949,-0.404914,-0.400998,7.39737,8.27014
-0.204545,-0.244949,-0.419533,-0.415236,8.13951,9.08226
-0.199495,-0.244949,-0.452558,-0.449508,6.43851,6.4671
-0.194444,-0.244949,-0.446678,-0.443138,6.97184,7.58469
-0.189394,-0.244949,-0.491833,-0.488341,6.5723,7.23451
-0.184343,-0.244949,-0.514027,-0.510216,7.22911,8.14348
-0.179293,-0.244949,-0.544017,-0.540063,7.57799,8.41171
-0.174242,-0.244949,-0.640721,-0.637419,6.75606,7.22706
-0.169192,-0.244949,-0.662615,-0.658885,7.1538,8.09133
-0.164141,-0.244949,-0.723707,-0.720538,6.48221,7.011
-0.159091,-0.244949,-0.753051,-0.74923,7.43726,8.28504
-0.15404,-0.244949,-0.780377,-0.776187,8.31504,9.0301
-0.14899,-0.244949,-0.789616,-0.786632,5.91137,6.44475
-0.143939,-0.244949,-0.812863,-0.809267,7.10116,7.66665
-0.138889,-0.244949,-0.852064,-0.849284,5.86391,6.13183
-0.133838,-0.244949,-0.843511,-0.839733,7.3187,7.97957
-0.128788,-0.244949,-0.912713,-0.909194,6.9734,7.51763
-0.123737,-0.244949,-0.910697,-0.907414,6.94386,7.27177
-0.118687,-0.244949,-0.937302,-0.933848,6.88779,7.44313
-0.113636,-0.244949,-0.942205,-0.938505,7.41051,7.89016
-0.108586,-0.244949,-1.01102,-1.00691,8.14981,8.66502
-0.103535,-0.244949,-1.02107,-1.01652,9.05787,9.73791
-0.0984849,-0.244949,-1.05951,-1.05555,7.86441,8.69483
-0.0934343,-0.244949,-1.07233,-1.06748,9.39388,10.2893
-0.0883838,-0.244949,-1.06413,-1.05965,8.98208,9.58145
-0.0833333,-0.244949,-1.10257,-1.09729,10.1635,10.9784
-0.0782828,-0.244949,-1.14077,-1.13605,9.20431,10.0806
-0.0732323,-0.244949,-1.24072,-1.2354,10.197,11.2057
-0.0681818,-0.244949,-1.2363,-1.23157,9.63901,10.0955
-0.0631313,-0.244949,-1.228,-1.22305,9.88608,10.5798
-0.0580808,-0.244949,-1.27848,-1.27297,10.7978,11.526
-0.0530303,-0.244949,-1.34365,-1.33761,11.7696,12.7032
-0.0479798,-0.244949,-1.3684,-1.36241,11.8553,12.5729
-0.0429293,-0.244949,-1.33001,-1.32396,12.0057,12.7554
-0.0378788,-0.244949,-1.33545,-1.32886,12.9326,13.8152
-0.0328283,-0.244949,-1.38586,-1.37939,12.787,13.5042
-0.0277778,-0.244949,-1.38746,-1.38068,13.2989,14.1487
-0.0227273,-0.244949,-1.32782,-1.32017,14.8884,15.8655
-0.0176768,-0.244949,-1.34835,-1.34074,14.8528,15.7669
-0.0126263,-0.244949,-1.39155,-1.38301,16.7181,17.6951
-0.00757576,-0.244949,-1.32869,-1.32022,16.523,17.494
-0.00252525,-0.244949,-1.33004,-1.32155,16.6635,17.5554
0.00252525,-0.244949,-1.33514,-1.3262,17.4799,18.4868
0.00757576,-0.244949,-1.29013,-1.28142,16.9621,18.0267
0.0126263,-0.244949,-1.32458,-1.31557,17.6412,18.6786
0.0176768,-0.244949,-1.34206,-1.33247,18.8209,19.8185
0.0227273,-0.244949,-1.26112,-1.25192,18.0936,19.0064
0.0277778,-0.244949,-1.26343,-1.25374,19.0777,19.9079
0.0328283,-0.244949,-1.26213,-1.25253,18.7575,19.7627
0.0378788,-0.244949,-1.28051,-1.27077,18.9197,20.1315
0.0429293,-0.244949,-1.2356,-1.22559,19.586,20.5636
0.0479798,-0.244949,-1.22198,-1.21163,20.3589,21.3757
0.0530303,-0.244949,-1.21132,-1.20108,20.2718,21.1671
0.0580808,-0.244949,-1.20274,-1.19174,21.4404,22.5827
0.0631313,-0.244949,-1.25086,-1.2396,21.4449,23.0297
0.0681818,-0.244949,-1.17508,-1.16398,21.4587,22.7392
0.0732323,-0.244949,-1.21031,-1.19877,22.199,23.514
0.0782828,-0.244949,-1.12759,-1.11627,21.8578,23.1191
0.0833333,-0.244949,-1.11766,-1.1061,22.537,23.8493
0.0883838,-0.244949,-1.09664,-1.08516,21.7486,23.2682
0.0934343,-0.244949,-1.01827,-1.00734,21.7886,22.4486
0.0984849,-0.244949,-0.967063,-0.955403,22.5811,23.8046
0.103535,-0.244949,-0.955303,-0.943966,22.205,23.0893
0.108586,-0.244949,-0.901249,-0.889935,22.1054,23.0297
0.113636,-0.244949,-0.897183,-0.885293,23.0969,24.5273
0.118687,-0.244949,-0.899493,-0.887468,23.1273,24.2144
0.123737,-0.244949,-0.807777,-0.795707,22.9936,24.4826
0.128788,-0.244949,-0.771298,-0.759944,22.0593,23.2458
0.133838,-0.244949,-0.711858,-0.700489,21.8739,23.2458
0.138889,-0.244949,-0.653865,-0.64221,22.0027,23.4842
0.143939,-0.244949,-0.668947,-0.658154,21.8984,22.2921
0.14899,-0.244949,-0.660385,-0.649109,22.1476,22.9329
0.15404,-0.244949,-0.607911,-0.596195,22.1743,23.7524
0.159091,-0.244949,-0.598297,-0.586838,22.3771,23.4246
0.164141,-0.244949,-0.553131,-0.541583,22.4153,23.3799
0.169192,-0.244949,-0.544358,-0.532523,22.654,24.2442
0.174242,-0.244949,-0.531148,-0.519171,23.9856,24.2293
0.179293,-0.244949,-0.474452,-0.462323,23.6063,25.0041
0.184343,-0.244949,-0.423853,-0.412285,22.5208,23.3799
0.189394,-0.244949,-0.40835,-0.396222,23.3377,24.7061
0.194444,-0.244949,-0.387352,-0.375435,22.8679,24.0207
0.199495,-0.244949,-0.363327,-0.351965,22.079,22.8137
0.204545,-0.244949,-0.307553,-0.29625,21.709,22.6498
0.209596,-0.244949,-0.214085,-0.202179,23.3587,24.3336
0.214646,-0.244949,-0.156091,-0.14329,24.774,25.7045
0.219697,-0.244949,-0.152783,-0.140637,25.0932,25.019
0.224747,-0.244949,-0.0102383,0.00335276,26.3144,27.4777
0.229798,-0.244949,0.0332424,0.0479221,27.7951,29.5937
0.234848,-0.244949,0.0760406,0.0916719,30.4312,31.1881
0.239899,-0.244949,0.121603,0.13642,28.6587,30.2047
0.244949,-0.244949,0.231998,0.246927,29.479,30.2792
0.25,-0.244949,0.281381,0.294223,26.3911,26.3303
-0.25,-0.239899,-0.44689,-0.44015,10.0814,13.6644
-0.244949,-0.239899,-0.411259,-0.4059,8.03105,10.8033
-0.239899,-0.239899,-0.375626,-0.372358,5.00233,6.80983
-0.234848,-0.239899,-0.358189,-0.354156,6.79014,8.03918
-0.229798,-0.239899,-0.395728,-0.392377,5.55371,6.80238
-0.224747,-0.239899,-0.359272,-0.356138,5.4599,6.60121
-0.219697,-0.239899,-0.374913,-0.372142,4.94458,5.84871
-0.214646,-0.239899,-0.360487,-0.357673,5.01537,5.7593
-0.209596,-0.239899,-0.393974,-0.391461,4.6755,5.42402
-0.204545,-0.239899,-0.404888,-0.402115,5.25371,5.89341
-0.199495,-0.239899,-0.433395,-0.431344,3.78781,4.41819
-0.194444,-0.239899,-0.427872,-0.425808,4.04315,4.44055
-0.189394,-0.239899,-0.467007,-0.465035,3.68484,4.12762
-0.184343,-0.239899,-0.485044,-0.482887,3.96799,4.43309
-0.179293,-0.239899,-0.517784,-0.515386,4.3876,5.00679
-0.174242,-0.239899,-0.580425,-0.578597,3.88805,4.01586
-0.169192,-0.239899,-0.599616,-0.597544,4.04874,4.61191
-0.164141,-0.239899,-0.656005,-0.654519,3.17537,3.29316
-0.159091,-0.239899,-0.684279,-0.682332,3.91534,4.12762
